Title;Authors;Abstract;Published Year;Published Month;Journal;Volume;Issue;Pages;Accession Number;DOI;Ref;Covidence #;Study;Tags
Spelling Practice Intervention: A Comparison of Tablet PC and Picture Cards as Spelling Practice Methods for Students with Developmental Disabilities;"Seok, Soonhwa; DaCosta, Boaventura; Yu, Byeong Min";;2015;;EDUCATION AND TRAINING IN AUTISM AND DEVELOPMENTAL DISABILITIES;50;1;84-94;;;;#3601;Seok 2015;
The effectiveness of emotional intelligence training on communication skills in students with intellectual disabilities;"Sheydaei, M.; Adibsereshki, N.; Movallali, G.";Objectives: Emotional intelligence skills begin at home, and with positive interactions with parents and other children. Parents can help children recognize their emotions, name them, and learn how to respect their feelings and adapt to social situations. The aim of the present study was to investigate the effectiveness of emotional intelligence training on the communication skills of students with intellectual disabilities. Methods: This study was quasi-experimental, with a pre-test, post-test design and a control group. The sample consisted of 32 educable students with intellectual disabilities (14-18 years old). Results: The results showed that the intervention program had created a significant difference between the scores of the experimental and control groups (P < 0.05), and that the scores for communication skills were increased, both post-test and also in the experimental group follow-up (P < 0.05). Discussion: Emotional intelligence training enhanced the communication skills of students with intellectual disabilities. Teachers, professionals, and clinicians could use these training in their practices.;2015;;Iranian Rehabilitation Journal;13;3;7-12;;;;#12970;Sheydaei 2015;
Evaluating the effects of a video prompt in a system of least prompts procedure;"Smith, K.A.; Ayres, K.M.; Mechling, L.C.; Alexander, J.L.; Mataras, T.K.; Shepley, S.B.";The purpose of this study was to evaluate the effects of a system of least prompts procedure with a video prompt serving as the model in teaching office tasks to three high school students with moderate intellectual disability. A multiple probe across behaviors design replicated across participants was used to evaluate the intervention. The dependent variable was percentage of steps completed independently on collating and stapling papers, organizing a binder, and preparing a letter. Generalization was assessed across materials for each participant in a pre-/post-test format. Results indicated the three participants learned all three skills after the introduction of intervention and generalized the majority of steps to novel materials. © Hammill Institute on Disabilities 2013.;2015;;Career Development and Transition for Exceptional Individuals;38;1;39-49;;10.1177/2165143413511981;;#12855;Smith 2015;
Generalization of Literacy Skills Through Portable Technology for Students With Severe Disabilities;"Spooner, Fred; Kemp-Inman, Amy; Ahlgrim-Delzell, Lynn; Wood, Leah; Davis, Luann Ley";;2015;;RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES;40;1;52-70;;10.1177/1540796915586190;;#3603;Spooner 2015;
Comparison of Constant Time Delay and Simultaneous Prompting Procedures: Teaching Functional Sight Words to Students with Intellectual Disabilities and Autism Spectrum Disorder;"Swain, Rasheeda; Lane, Justin D.; Gast, David L.";;2015;;JOURNAL OF BEHAVIORAL EDUCATION;24;2;210-229;;10.1007/s10864-014-9209-5;;#3259;Swain 2015;
Music therapy with young people who have profound intellectual and developmental disability: Four case studies exploring communication and engagement within musical interactions;"Thompson, Grace A.; McFerran, Katrina Skewes";;2015;;JOURNAL OF IN℡LECTUAL & DEVELOPMENTAL DISABILITY;40;1;1-11;;10.3109/13668250.2014.965668;;#3991;Thompson 2015;
A board game for the teaching, reading, and writing to intellectually disabled people;"Tripiana-Barbosa, Andressa; de Souza, Silvia Regina";In this study we investigated the effect of a board game on the teaching of reading and writing of 6 intellectually disabled individuals. A pretest was performed, and we evaluated the relationship among printed words, spoken words, and pictures and between spoken words and a group of syllables. In addition, a pretest was conducted to determine the preexperimental writing repertoire of the participants. After the pretest, the intervention/game allowed the teaching of the relationship among printed words, spoken words, a group of syllables, and pictures. A probe was run after every 2 sessions, and a follow-up session was performed after a month. Despite the increase in the percentage of words read correctly, correctly chosen syllables, correct matching between figures and printed words, and correctly written syllables, the variability in the performance observed suggested the need for further investigation. (PsycInfo Database Record (c) 2020 APA, all rights reserved);2015;;Behavior Analysis: Research and Practice;15;1;90-106;;;;#16587;Tripiana-Barbosa 2015;
Teaching Early Reading Skills to Children with Intellectual and Developmental Disabilities Using Computer-Delivered Instruction: A Pilot Study;"Tyler, Emily J.; Hughes, John C.; Wilson, Meadhbh M.; Beverley, Michael; Hastings, Richard P.; Williams, Bethan M.";"Many children with Intellectual and Developmental Disabilities (IDD) have considerable difficulty learning basic reading skills. Increasing evidence suggests individuals with IDD may benefit from instruction incorporating components of reading found to be effective for typically developing children. However, little research into reading instruction for children with IDD has incorporated these components. There is evidence for the efficacy of Headsprout® ""Early Reading"" program for typically developing children, and emerging evidence suggesting that children with autism can benefit from the program. The current study investigated the accessibility of Headsprout® ""Early Reading"" for children with IDD, and whether there were any measurable effects of the program on important early reading and language skills. Six children aged between 7 and 14 years with mild to moderate IDD completed the program, and all made measurable improvements across reading measures, demonstrating children with mild to moderate IDD can access (i.e., progress through and benefit from) the program.";2015;03-01;Journal of International Special Needs Education;18;1;1-11;;;;#30281;Tyler 2015;
Increasing Compliance in Students With Intellectual Disabilities Using Functional Behavioral Assessment and Self-Monitoring;"Wadsworth, Jamie P.; Hansen, Blake D.; Wills, Sarah B.";;2015;;REMEDIAL AND SPECIAL EDUCATION;36;4;195-207;;10.1177/0741932514554102;;#4179;Wadsworth 2015;
Teaching Students With Intellectual Disability to Use a Self-Questioning Strategy to Comprehend Social Studies Text for an Inclusive Setting;"Wood, Leah; Browder, Diane M.; Flynn, Lindsay";;2015;;RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES;40;4;275-293;;10.1177/1540796915592155;;#4227;Wood 2015;
Effects of systematic instruction on listening comprehension of science e-texts for students with moderate intellectual disability;Wood, Alyson Leah;A multiple probe across participants design was used to examine the effects of systematic instruction (constant time delay and a system of least prompts) on both generating and answering questions about science e-texts for students with moderate intellectual disability. Three elementary aged students with moderate intellectual disability participated in this study. Two special education teachers served as the primary interventionists. The students were pretrained using constant time delay and visual and auditory cues delivered on an iPad2™ to access and navigate e-texts on the Internet. The primary dependent variable was the number of comprehension questions correctly answered after students generated a question and listened to a science e-text. Additional questions examined (a) the students' ability to generate questions both with and without the superport of an iPad2™ template, (b) the generalizability of generating questions and answering questions about science e-texts in a general education science setting, and (c) stakeholder perceptions. A functional relationship was demonstrated for both generating questions using an iPad2™ and answering comprehension questions. All three students demonstrated an ability to correctly answer questions by either saying an answer from memory or independently searching the e-text and replaying target text to find the correct answer. A functional relationship also was demonstrated between constant time delay instruction and the points earned accurately generating questions using an iPad2™. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2015;01-01;Dissertation Abstracts International Section A: Humanities and Social Sciences;75;10-A(E);No Pagination Specified-No Pagination Specified;;;;#19307;Wood 2015;
The Effect of a Mobile Mathematical Game on the Mathematic Learning of the Student with Intellectual Disability;"Wu, C.-P.; Liu, Y.-C.";Taking into account of students with intellectual deficits and special needs in concept learning, this research designed a digital game for a fourth grade elementary student with mild intellectual disability to learn the concept of triangle. The participant's experience of learning from the game and the impact of the game on his learning gains on the introduced concepts of triangle were explored. This study adopted the A-B-A' research design of the single-subject model. One 4th grade elementary student with intellectual disability was recruited as the research participant. The experiment included three stages: The baseline, the intervention, and the retention. The participant's level of satisfaction towards the game was collected via observation and interview using the game satisfaction questionnaire. Moreover, the participant's performance on the tests embedded in the game was collected throughout the experiment. Two major conclusions are obtained. The participant is satisfied with digital game-based learning process. The designed digital game is effective in helping elementary students with intellectual disabilities to learn the concepts of triangle.;2015;;;;;105-109;;;;#12974;Wu 2015;
Effect of a classroom-based intervention on the social skills of pupils with intellectual disability in Southwest Nigeria;"Adeniyi, Yetunde C.; Omigbodun, Olayinka O.";;2016;;CHILD AND ADOLESCENT PSYCHIATRY AND MENTAL HEALTH;10;;;;10.1186/s13034-016-0118-3;;#4252;Adeniyi 2016;
The effectiveness of emotional intelligence training on the adaptive behaviors of students with intellectual disability;"Adibsereshki, Narges; Shaydaei, Maryam; Movallali, Guita";;2016;;INTERNATIONAL JOURNAL OF DEVELOPMENTAL DISABILITIES;62;4;245-252;;10.1179/2047387715Y.0000000014;;#4214;Adibsereshki 2016;
Teaching Arithmetic Combinations of Multiplication and Division to Students with Learning Disabilities or Mild Intellectual Disability: The Impact of Alternative Fact Grouping and the Role of Cognitive and Learning Factors;"Agaliotis, Ioannis; Teli, Afroditi";The effectiveness of two instructional interventions was investigated in the context of teaching Arithmetic Combinations (ACs) of multiplication and division to students with Learning Disabilities (LD) or Mild Intellectual Disability (MID). The intervention for the control group (LD = 20, MID = 10) was based on principles of effective instruction, while the intervention for the experimental group (LD = 19, MID = 4) combined the intervention for the control group and an alternative grouping and presentation scheme of ACs. Correlations between cognitive and learning characteristics of the two disability categories and participants' performance in ACs learning were also investigated. Intra-group comparisons showed that post-intervention performance of both groups (control and experimental) was significantly higher than their pre-intervention performance. However, inter-group comparisons revealed that there was no significant difference between the results obtained through the two interventions. Students with LD outperformed their counterparts with MID. Differences of the two disability categories in domains such as speed of information processing and counting skills correlated with performance. Results are discussed in reference to the organization of effective intervention programs for supporting students with LD or MID in their effort to learn arithmetic combinations of multiplication and division.;2016;01-01;Journal of Education and Learning;5;;90-103;;;;#28643;Agaliotis 2016;
Teaching phonics to groups of middle school students with autism, intellectual disabilities and complex communication needs;"Ainsworth, Melissa K.; Evmenova, Anya S.; Behrmann, Michael; Jerome, Marci";;2016;;RESEARCH IN DEVELOPMENTAL DISABILITIES;56;;165-176;;10.1016/j.ridd.2016.06.001;;#4073;Ainsworth 2016;
Using of Video Modeling in Teaching a Simple Meal Preparation Skill for Pupils of Down Syndrome;AL-Salahat, Mohammad Mousa;"The current study aimed to identify the impact of video modeling upon teaching three pupils with Down syndrome the skill of preparing a simple meal (sandwich), where the training was conducted in a separate classroom in schools of normal students. The training consisted of (i) watching the video of an intellectually disabled pupil, who is preparing a sandwich of cream cheese; (ii) receiving verbal praise for each step of the training that was performed correctly. The results showed that the pupils mastered the skill of preparing sandwich independently, the skill generalization has been verified and the pupils demonstrated maintenance of the skill 14 days following mastery.";2016;01-01;Journal of Education and Practice;7;9;82-90;;;;#28139;AL-Salahat 2016;
Teaching menstrual care skills to intellectually disabled female students;"Altundağ, Sebahat; Çalbayram, Nazan Çakırer";Aims and objectives: The aim of this study was to teach pad replacement skills to intellectually disabled adolescent female students during their menstruation periods by demonstrating on a dummy. Background: It may be difficult to make intellectually disabled adolescents achieve self‐care during menstruation. In addition, there are difficulties experienced in explaining menstruation, such as physical changes and the practice of cleaning during this period. Design: The study used a ‘One group pretest and post‐test model’. Method: The study was performed in a special educational institution. The population consisted of 77 female students in the high school section. Calculation of a sample size was not attempted, and 54 students with no attendance issues agreed to take part in the study and were included. Results: In this work, we found that pad replacement training significantly changed the scores of mentally disabled adolescents before and after training. Our training yielded positive results, and the population improved their skills at all stages of skill building. Conclusion: Training adolescents with mental disabilities helped them gain hygiene habits. Performance of these trainings occurs at the beginning of menstrual hygiene education. Relevance to clinical practice: To achieve improved success in life, it is important that adolescents assume the responsibility of self‐care and manage sustained care activity on their own. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract);2016;07-01;Journal of Clinical Nursing;25;13-14;1962-1968;;;;#18000;Altundağ 2016;
A comparison of humanoid and non humanoid robots in supporting the learning of pupils with severe intellectual disabilities;"Aslam, S.; Shopland, N.; Standen, P.J.; Burton, A.; Brown, D.";Previous research has shown that the humanoid NAO robot can enhance learning as well as improve communication in children with intellectual disabilities. However, most special needs schools cannot afford the humanoid NAO robot due to high costs. Could a cheaper nonhumanoid Lego Mindstorm robot be an alternative way of achieving the same learning objectives as the humanoid NAO robot? A single case study experimental ABAB design was used consisting of 16 sessions over 5 weeks: eight with the humanoid and eight with the non-humanoid robot. All sessions were video recorded and analysed for percentage engagement and percentage errors made by each of four students. For each student individually, these outcome measures were then compared between the two conditions. The teachers were interviewed at the end of the study. Three out of four students were significantly more engaged with the non-humanoid robot than the humanoid robot, whilst one student was found to be equally engaged with both robots. There was no significant difference between the two robots in terms of percentage errors for all four participants who managed to complete the study. © 2016 IEEE.;2016;;;;;7-12;;10.1109/iTAG.2016.9;;#12168;Aslam 2016;
Comparing a number line and audio prompts in supporting price comparison by students with intellectual disability;"Bouck, Emily C.; Satsangi, Rajiv; Bartlett, Whitney";;2016;;RESEARCH IN DEVELOPMENTAL DISABILITIES;53-54;;342-357;;10.1016/j.ridd.2016.02.011;;#4302;Bouck 2016;
The effectiveness of the TEACCH approach in supporting the development of communication skills for learners with severe intellectual disabilities;Butler, C.;This research focused on whether a TEACCH-based approach could be effective in helping to develop the communication skills of older learners with Severe Intellectual Disabilities, to enhance their ability to communicate, to enhance their abilities to live independent lives, and to take part in discussions about their future. A TEACCH based approach was implemented in a class in a special school, attended by six students, aged over 16, all of whom had Severe Intellectual Disabilities. Using a pre-post quasi-experimental design P-Scale data and IEP targets were used as measures of progress for communication skills. These were supplemented by regular researcher observations of the communication skills of the students. Staff were also asked to regularly measure the frequency and effectiveness of communication skills. Parents were also interviewed. P-scale and IEP targets indicated some progress being made across the two years. The results from research and staff observation were more striking however, indicating the development of frequent and effective communication skills across the two years. Importantly, these communications were occurring spontaneously, rather than being the result of conversations initiated by staff. Parents had noticed changes in their children's communication, but remained concerned about their prospects for the future. This research showed that a TEACCH-based method can be effective in developing communication skills in learners with Severe Intellectual Disabilities. The extent of the effectiveness remains unclear however, as the school-based methods for assessing progress for these learners (mainly p-scales) remain problematic. © 2016 NASEN;2016;;Support for Learning;31;3;185-201;;10.1111/1467-9604.12128;;#12330;Butler 2016;
Using an Augmented Reality Enhanced Tabletop System to Promote Learning of Mathematics: A Case Study with Students with Special Educational Needs.;"Cascales-Martínez, Antonia; Martínez-Segura, María-José; Pérez-López, David; Contero, Manuel";Background:Learning applied mathematics is very important for people with special educational needs (SEN). SEN students cannot fully benefit from mathematics instruction and curriculum in general education classrooms. Technology can adapt and individualize mathematics instruction for SEN students. Researchers and teachers in the field of special education have made efforts to incorporate technology into math curricula for these students to improve their results.Material and methods:The tabletop system was used in a real educational setting, where we compared the learning experience of the students before and after using the tabletop. The evaluation method focused on three elements: the increase of knowledge, the relationship between the acquired learning and the type of educational needs, and the student’s satisfaction and motivation after using the tabletop.Results:The study provides evidence to suggest several reasons why the tabletop instructional effectiveness is higher than that using traditional methods. The tabletop is shown as a new technology-based artifact which offers new ways of interacting with the European monetary system, and using technology as an “object-to-think-with”, It also increases the motivation of students as well as the collaboration between them.Conclusions:Our results reveal that the tabletop is a feasible technology that can be successfully applied in special educational needs contexts.;2016;2016-12-01;EURASIA Journal of Mathematics, Science and Technology Education;13;2;355-380;;10.12973/eurasia.2017.00621a;;#45029;Cascales-Martínez 2016;systematic_review_manual
Evaluating a computer flash-card sight-word recognition intervention with self-determined response intervals in elementary students with intellectual disability;"Cazzell, S.; Skinner, C.H.; Ciancio, D.; Aspiranti, K.; Watson, T.; Taylor, K.; McCurdy, M.; Skinner, A.";A concurrent multiple-baseline across-tasks design was used to evaluate the effectiveness of a computer flash-card sight-word recognition intervention with elementaryschool students with intellectual disability. This intervention allowed the participants to self-determine each response interval and resulted in both participants acquiring previously unknown words across all word sets. Discussion focuses on the need to evaluate and compare computer flash-card sight-word recognition interventions with fixed and self-determined response intervals across students and dependent variables, including rates of inappropriate behavior and self-determination in students with intellectual disability. © 2016, American Psychological Association.;2016;;School Psychology Quarterly;32;3;367-378;;10.1037/spq0000172;;#12257;Cazzell 2016;
Encouraging overweight students with intellectual disability to actively perform walking activity using an air mouse combined with preferred stimulation;"Chang, Chia-Jui; Chang, Man-Ling; Shih, Ching-Hsiang";;2016;;RESEARCH IN DEVELOPMENTAL DISABILITIES;55;;37-43;;10.1016/j.ridd.2016.03.011;;#4263;Chang 2016;
Effects of an 8-Week Structured Physical Activity Program on Psychosocial Behaviors of Children With Intellectual Disabilities;"Choi, Peggy Hiu Nam; Cheung, Siu Yin";;2016;;ADAPTED PHYSICAL ACTIVITY QUARTERLY;33;1;1-14;;10.1123/APAQ.2014-0213;;#4609;Choi 2016;
Inclusion of students with an intellectual disability in the general education classroom with the use of response cards;"Clarke, L.S.; Haydon, T.; Bauer, A.; Epperly, A.C.";The passage of the Individuals With Disabilities Education Improvement Act and the No Child Left Behind Act has highlighted the importance of all students having access to the general education curriculum. Because students with disabilities are being included in the general education classroom in greater numbers, teachers need to implement research-based instructional strategies. To extend research on one effective strategy, the authors used a single case ABAB reversal design to investigate the effects of using response cards on active student responding and on-task behavior for five students with intellectual disabilities during science and social studies lessons in the general education classroom. Results suggest increased active student responding and on-task behavior for all five participants. A discussion of study limitations, implications, and future research directions is included. © Taylor & Francis Group, LLC.;2016;;Preventing School Failure;60;1;35-42;;10.1080/1045988X.2014.966801;;#12526;Clarke 2016;
Self-Monitoring for High School Students With Disabilities.;"Clemons, Lachelle L.; Mason, Benjamin A.; Garrison-Kane, Linda; Wills, Howard P.";Self-monitoring interventions are well supported within the empirical literature as improving classroom engagement for students with disabilities. However, studies implementing self-monitoring interventions in high school settings are rarely conducted despite their potential to improve student academic and behavioral outcomes. In an investigation of an unobtrusive, self-monitoring application loaded on a handheld device, classroom engagement and perceived academic benefits were assessed in a withdrawal design for three high school students with different disabilities (specific learning disability, autism, and intellectual disability) in varied instructional arrangements. Direct observation data supported the intervention as effective in improving classroom engagement for all three students during intervention and maintenance phases. [ABSTRACT FROM AUTHOR], Copyright of Journal of Positive Behavior Interventions is the property of Sage Publications Inc. and its content may not be copie);2016;;Journal of Positive Behavior Interventions;18;3;145-155;;;;#37945;Clemons 2016;
THE INFLUENCE OF CLASSICAL MUSIC ON THE CONCENTRATION AND PERFORMANCE LEVELS OF STUDENTS WITH MILD IN℡LECTUEL DISABILITY.;"ElDaou, Badrie Mohammad Nour; Hassaniyyeh, Mira";This study aimed at examining the effectiveness of listening to classical music on the performance and concentration level of students with mild intellectual disability. Two groups (experimental and control) were composed of four students aged between 8 and 12 years of individuals with mild intellectual disability, were selected for this study from a nonprofit Lebanese organization for mild intellectual disability. The experimental group listened half an hour per day for 54 days (a total of 27 hours) to a Mozart classical music with a regular rhythm and a control group did not listen to music. Pre-post concentration levels were measured for both groups using Connor's Teachers' Rating sub-scale. Also, patterns completion tasks were used to measure pre/post students' activities performance level. Findings showed that there were statistically significant differences between the 2 measurement pre and post in terms of lack of concentration rate by 3 Connors' Teachers Rating sub scale on th);2016;;International Journal of Arts & Sciences;9;1;297-312;;;;#38095;ElDaou 2016;
Effects of Computer-Based Video Instruction on the Acquisition and Generalization of Grocery Purchasing Skills for Students with Intellectual Disability;"Goo, Minkowan; Therrien, William J.; Hua, Youjia";;2016;;EDUCATION AND TRAINING IN AUTISM AND DEVELOPMENTAL DISABILITIES;51;2;150-161;;;;#4224;Goo 2016;
Exploring cognitively accessible academic lessons for students with intellectual disabilities using the iPad;Gunderson, Jamie Linn;Students with intellectual disabilities often lack access to general education curricula. This is because many teachers struggle with adapting these curricula to meet the unique learning needs of these students. Technology, having the potential to facilitate access to general education curricula, has been successfully used as a tool to adapt curriculum for this population. The use of the iPad (Apple, 2010), which is easily programmed to support the unique needs of students with disabilities, is beginning to be explored as a tool for the learning and instruction of students with intellectual disabilities and results have been favorable. Further research is needed to evaluate the efficacy of using iPad (Apple, 2010) technology as a curricular support and methods for successfully incorporating this technology into instruction must also be explored. This study focused on providing access to academic content aligned to general education content standards through the use of an iPad (Apple, 2010). Two instructional conditions were compared, traditional teaching involving paper and pencil and teaching involving iPad (Apple, 2010) technology. Data were compared to determine the effects of the intervention on the academic content knowledge, work completion, and engagement of students with intellectual disabilities. Student perceptions concerning the use of iPads (Apple, 2010) as learning tools were collected and evaluated at the conclusion of the study. The results indicated that although the iPad (Apple, 2010) did not have a significant effect on increasing the academic content knowledge or maintenance of knowledge over time, the iPad (Apple, 2010) did have a significant effect on the work completion and engagement of students with intellectual disabilities. Moreover, students participating in the study responded favorably about using the iPad (Apple, 2010) as a learning tool. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2016;01-01;Dissertation Abstracts International Section A: Humanities and Social Sciences;76;12-A(E);No Pagination Specified-No Pagination Specified;;;;#21093;Gunderson 2016;original_search
The effects of direct instruction on reading comprehension for individuals with autism or intellectual disability;Head, Cynthia Nelson;This study investigated the effects of a Direct Instruction (DI) reading comprehension program on the reading comprehension skills of adolescents with autism spectrum disorder or intellectual disability. Although the effectiveness of DI programs has been well documented in disability and instructional literature, effectiveness of DI for individuals with autism and intellectual disability is sparse. This study examined the effects of Corrective Reading Comprehension: B1, a reading comprehension program, on students' acquisition of specific reading comprehension skills (parts of speech, combining sentences with and, identifying contradictions, and identifying relevant/irrelevant information). A single subject multiple-probe across behaviors design was employed to investigate whether a functional relation existed between DI and reading comprehension for this sample. A functional relation between the DI and reading comprehension was demonstrated for each participant across all behavioral conditions. Additional data were collected in the area of reading comprehension using standardized and curriculum-based measures. Implications for practice and future research are discussed. (PsycInfo Database Record (c) 2023 APA, all rights reserved);2016;2023;Dissertation Abstracts International: Section B: The Sciences and Engineering;;AAI30262124;;"2820559224; 2023-55665-206";;;#43473;Head 2016;psycinfo_update
Embedded Simultaneous Prompting Procedure to Teach STEM Content to High School Students with Moderate Disabilities in an Inclusive Setting;"Heinrich, Sara; Collins, Belva C.; Knight, Victoria; Spriggs, Amy D.";;2016;;EDUCATION AND TRAINING IN AUTISM AND DEVELOPMENTAL DISABILITIES;51;1;41-54;;;;#4272;Heinrich 2016;
The effectiveness of Colourful Semantics on narrative skills in children with intellectual disabilities in Sri Lanka;Hettiarachchi, S.;Background: Children diagnosed with intellectual difficulties experience difficulties with narrative skills, due to limited syntactic knowledge. The Colourful Semantics approach with thematic roles and a colour coding system may encourage syntactic development in children experiencing intellectual disabilities. Aim: To evaluate the effectiveness of using the Colourful Semantics approach to develop narrative skills in Sri Lankan Tamil-speaking children diagnosed with intellectual difficulties. Methods: Thirty Sri Lankan Tamil-speaking children identified with intellectual difficulties were included. The Colourful Semantics approach was offered twice a week for 6 weeks, facilitated by the class teachers. Pre- and post-intervention narrative skill assessments were undertaken and analysed for content and syntactic structures. Results: The results indicate positive changes post-intervention on the qualitative and quantitative narrative skills measures undertaken on content and syntactic structures. Conclusions and Implications: The Colourful Semantics approach is an effective therapy approach to support development of narrative skills in children with intellectual difficulties. © The Author(s) 2015.;2016;;Journal of Intellectual Disabilities;20;1;18-33;;10.1177/1744629515591410;;#12444;Hettiarachchi 2016;
Effects of Wii Fit® balance game training on the balance ability of students with intellectual disabilities;Hsu, T.-Y.;[Purpose] The aim of this study was to assess the effects of 8 weeks of Wii Fit balance game training on the balance abilities of students with intellectual disabilities. [Subjects and Methods] Twenty-four students with intellectual disabilities were selected and randomly divided into Wii Fit balance game training, physical education, and sedentary activity groups. The Wii Fit balance game training group received two 40-minute Wii Fit balance game training sessions per week for a total of 8 weeks. Kruskal-Wallis one-way analysis of variance and the Wilcoxon signed rank test were used to compare differences. [Results] After eight weeks of training, the Wii Fit balance game training group showed significant differences between the pre-and post-training parameters, including the duration of standing on one leg with the eyes closed, average anteroposterior movement speed, swing area per unit time, and speed strength index. The physical education group showed significant differences between the pre-and post-training speed strength index values. The sedentary activity group did not show any significant differences between the pre-and post-training parameters. [Conclusion] Wii Fit balance game training can improve static balance and lower extremity muscle strength in students with intellectual disabilities. © 2016 The Society of Physical Therapy Science. Published by IPEC Inc.;2016;;Journal of Physical Therapy Science;28;5;1422-1426;;10.1589/jpts.28.1422;;#12393;Hsu 2016;
Teaching Early Numeracy Skills Using Single Switch Voice-Output Devices to Students with Severe Multiple Disabilities;"Hudson, Melissa E.; Zambone, Alana; Brickhouse, Julie";;2016;;JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES;28;1;153-175;;10.1007/s10882-015-9451-3;;#4309;Hudson 2016;
Correspondence training using special interests to increase compliance during transitions: An emerging technology;"Huffman, Robert W.; Sainato, Diane M.; Curiel, Emily S. L.";It is noted that although previous research findings for correspondence training validate interventions for increasing desired behaviors such as social skills and task-on-behaviors, research is still limited on using correspondence training to facilitate independent performance during classroom transition. A treatment package was developed to increase the participant's overall compliance and on-task behavior during transitions. The study was conducted in an inclusive half-day pre-school classroom that was in session 4 days a week. Five children with developmental de-lays and five of their peers comprised the classroom group.The participant in this study was a 6-year-old boy named Matt who was diagnosed with Down syndrome. This study was conducted during three daily classroom transitions, in which Matt exhibited high rates of non-compliance. These were the cleanup time after free play,hand washing before snack, and the transition from group instruction to table work. Outcomes from this study suggest that the incorporation of special interests into correspondence training and/or task analytic visual cues may be an effective modification to these interventions for individuals who engage in a high frequency of preservative behaviors related to a special interest character. (PsycINFO Database Record (c) 2016 APA, all rights reserved);2016;03-01;Behavior Analysis in Practice;9;1;25-33;;;;#19671;Huffman 2016;
The Effect of Training Individuals with Mild Intellectual Disability in Scaffolding Strategies and Computer Software on Their Generalization Skills;"Jalloul, Farah; EL-Daou, Badrie";"Objective: The study aimed at investigating the effect of scaffolding strategies as thinking out loud and verbalization of instructions strategies on the generalization skills of language-related concepts in mildly intellectual disabled students. Method: Twenty-seven subjects in three treatments were trained in solving a pattern of the Thurston letter series task. Group 1 students received language concepts through training in verbal instructions and thinking out loud strategy. Group 2 students received language concepts training through computers. Group 3 students received training in language concepts through thinking out loud, verbal instructions and computer software. Pre-training measures to subjects' chronological age, Verbal Analogies Test and training trials were collected. Training measures pertaining to acquisition, maintenance and generalization of pattern completion tasks were collected. Mean scores and standard deviations were obtained for each dependent measure. Results: The treatment effect was studied by a series of one way ANOVAS and a Tukey ""post hoc"" test, which revealed that there was a significant difference between group 1 and group 2, since the difference between the means (m1-m3) = -2.556 and p = 0.000. Also, the difference is shown between group 2 and group 3 since the difference between the means (m2-m3) = -2.333 and p = 0.000 and in both cases p is less than 0.05. Moreover, group 3 had a higher mean (M = 3.89) than group 2 (M = 1.56) and group 1 (M = 1.33). Conclusion: Group 3 had the ability to become self-regulated by solving the untrained letter patterns. Thus, we can conclude that training in scaffolding strategies, such as thinking out loud and verbalization of instruction strategies, helped individuals with an intellectual disability to acquire metacognitive strategies. This enabled them to generalize the learning experience and become self-regulated and better problem solvers. Also, using a computer program promoted the use of metacognitive strategies. Once students internalize target strategies, they can transfer these to second language patterns; therefore, it enhances the generalization of learning individuals with an intellectual disability. Recommendations for further research were discussed.";2016;01-01;World Journal on Educational Technology: Current Issues;8;3;277-293;;;;#29014;Jalloul 2016;
The effect of physical education and sports program on the positive growth and coping strategies of the adolescent with mental retardation;"Kirimoglu, Huseyin; Cokluk, Gulsen Filazoglu; Ilhan, Levent; Oz, Aysegul";;2016;;;26;;;;10.1051/shsconf/20162601086;;#4846;Kirimoglu 2016;
